orf_id	5F	1C	4A	8H	2G	8G	5L	2K	6F	3D	7B
CNAG_07510	7.365715135	7.589748791	7.201243858	7.044151225	7.818088326	7.796134382	7.961168384	8.002330022	7.987476172	8.109835766	8.079729475
CNAG_07511	6.843092251	6.538693854	6.749970358	6.727772542	6.718146391	6.896111151	6.985668398	6.977648349	7.154792671	7.158959068	7.11968758
CNAG_07512	6.941303803	6.952485893	7.144297078	7.294573748	6.725804841	6.430869722	6.293151524	5.950823731	6.190206916	6.203648282	6.106717639
CNAG_07513	7.060595394	7.105121312	7.075293538	6.875346428	7.098444777	6.822493953	6.785057205	6.94833857	6.71641739	6.631924063	6.93611379
CNAG_07514	7.182133087	7.347265428	7.174189767	6.978979805	7.35946545	7.732324758	7.579468006	7.685256747	7.584224823	7.515094948	7.547472906
CNAG_07515	6.410711308	6.246194678	6.377493642	5.709060392	6.773386501	6.537298484	7.183770489	6.649352167	7.424821997	7.230004473	6.75717255
CNAG_07517	5.300082104	5.677529067	5.958410955	5.864491292	5.635557344	5.73467939	5.576417468	5.571673563	5.570981949	5.595206844	5.576827667
CNAG_07518	5.214148542	5.288605129	5.118045928	5.055074794	5.51697783	5.469639247	5.504597773	5.499145224	5.644817258	5.483338108	5.485907927
CNAG_07519	5.569450388	5.418125519	5.666476163	5.070798961	5.490248375	5.672843053	5.40948347	5.855521399	5.825020003	5.683285129	5.896879979
CNAG_07520	4.801866767	4.146175448	4.62001281	4.691379865	4.196283842	3.704296542	3.135328359	2.869850692	3.954407462	3.719741715	3.33977576
CNAG_07521	4.239901283	4.272460027	4.364802065	4.357113973	4.388671901	4.021503756	4.332082458	4.305992214	4.342461686	4.529445068	4.252803031
CNAG_07522	8.266275587	7.942405872	8.572870802	8.800202958	7.477573508	6.739681567	6.318505699	6.437871088	6.250575567	5.964199416	6.04648334
CNAG_07523	4.150191105	4.189510225	4.282747648	3.682900663	4.329585146	4.470246221	4.568822757	4.593345941	4.801125648	4.59819417	4.338451813
CNAG_07524	6.160319723	6.371901399	6.281464956	6.184160297	6.252436363	6.240124288	6.260819067	6.209872047	6.461081283	6.31608622	6.288081567
CNAG_07526	0.435142528	0.370437493	0.168923277	0.244224876	0.690524129	-0.329647476	0.328469392	0.706918144	0.826238025	1.164645298	0.972337588
CNAG_07527	3.52234062	2.311548338	3.273167707	3.311546632	2.813705838	2.448434091	2.132237147	1.74668469	2.259821544	2.016216225	1.732237666
CNAG_07528	4.074176776	4.395993228	4.291166312	4.085080511	4.159056646	2.997067559	3.682790047	3.480593399	3.555563166	3.449007338	3.557827384
CNAG_07529	6.489641822	6.545380968	6.545249479	6.358695261	6.80987297	6.936714178	6.945547774	7.027830135	7.12069608	7.102097372	6.980084918
CNAG_07530	6.333338501	6.584865525	6.74077991	6.747473875	6.588336926	6.943561387	6.726279568	6.824755228	6.722113855	6.677118449	6.767503468
CNAG_07531	5.997520022	6.083427631	6.075134054	5.849376588	6.213019916	5.953988651	6.265172157	6.233391571	6.127201441	6.439252985	6.361526705
