orf_id	order_peaktime
CNAG_06208	88
CNAG_03274	226
CNAG_00567	893
CNAG_01956	744
CNAG_02148	745
CNAG_01637	1102
CNAG_06595	306
CNAG_01835	1103
CNAG_04040	746
CNAG_01796	988
CNAG_00652	747
CNAG_04407	894
CNAG_02218	748
CNAG_01985	749
CNAG_01814	989
CNAG_04260	227
CNAG_07676	228
CNAG_07752	895
CNAG_01089	896
CNAG_04872	229
CNAG_02020	230
CNAG_01199	231
CNAG_07499	897
CNAG_05566	89
CNAG_03290	750
CNAG_05457	90
CNAG_07508	91
CNAG_04187	990
CNAG_07460	232
CNAG_06920	92
CNAG_02851	307
CNAG_05519	93
CNAG_03962	991
CNAG_06569	751
CNAG_06001	233
CNAG_02728	752
CNAG_02333	753
CNAG_00854	94
CNAG_06550	234
CNAG_00108	235
CNAG_01626	95
CNAG_02990	898
CNAG_01979	899
CNAG_01682	1104
CNAG_03045	1105
CNAG_02723	754
CNAG_01859	236
CNAG_01930	96
CNAG_02798	900
CNAG_05200	1106
CNAG_06381	1107
CNAG_04313	755
CNAG_03265	756
CNAG_02443	97
CNAG_07020	237
CNAG_04864	308
CNAG_04451	757
CNAG_06799	238
CNAG_04813	376
CNAG_02557	1108
CNAG_06901	758
CNAG_05394	992
CNAG_03931	98
CNAG_06667	99
CNAG_02927	759
CNAG_02937	100
CNAG_01472	760
CNAG_01108	309
CNAG_07880	761
CNAG_04640	993
CNAG_02793	377
CNAG_01220	901
CNAG_06434	902
CNAG_02710	101
CNAG_00258	994
CNAG_00347	1109
CNAG_05664	239
CNAG_00451	240
CNAG_04641	762
CNAG_00852	241
CNAG_06435	242
CNAG_04903	1110
CNAG_06311	1111
CNAG_00013	763
CNAG_01355	243
CNAG_02022	244
CNAG_07489	1112
CNAG_05932	245
CNAG_04679	246
CNAG_03479	764
CNAG_01565	310
CNAG_04434	765
CNAG_07556	766
CNAG_00007	247
CNAG_03126	903
CNAG_04682	995
CNAG_06333	996
CNAG_00619	248
CNAG_05901	904
CNAG_01553	249
CNAG_00081	102
CNAG_02547	250
CNAG_01208	767
CNAG_04226	103
CNAG_07321	997
CNAG_07322	251
CNAG_02739	905
CNAG_01212	252
CNAG_03362	104
CNAG_04508	906
CNAG_05023	768
CNAG_06927	105
CNAG_04620	106
CNAG_01029	311
CNAG_07806	769
CNAG_04604	253
CNAG_00460	770
CNAG_02406	998
CNAG_06585	254
CNAG_03018	1113
CNAG_04081	255
CNAG_01158	256
CNAG_07563	771
