"Entry" "orf_id"
"374" "J9VUV7" "CNAG_07773"
"375" "J9VS72" "CNAG_02394"
"376" "J9VS77" "CNAG_02387"
"377" "J9VJC3" "CNAG_00573"
"378" "J9W439" "CNAG_05563"
"379" "J9VWF1" "CNAG_06345"
"380" "J9W2D7" "CNAG_06061"
"381" "T2BNC2" "CNAG_04970"
"382" "T2BQA6" "CNAG_00303"
"383" "J9VE67" "CNAG_00187"
"384" "J9VU31" "CNAG_01735"
"385" "J9VG39" "CNAG_03841"
"386" "J9VL76" "CNAG_04935"
"387" "J9VMK7" "CNAG_02853"
"388" "J9VNX2" "CNAG_05863"
"389" "J9VLR4" "CNAG_04029"
"390" "J9VR01" "CNAG_03473"
"391" "J9VUQ6" "CNAG_02011"
"392" "J9VFQ1" "CNAG_00758"
"393" "J9VX56" "CNAG_05415"
"394" "J9VXT0" "CNAG_04816"
"395" "J9VNQ2" "CNAG_05777"
"396" "J9VTN3" "CNAG_04597"
"397" "J9VJN2" "CNAG_05153"
"398" "J9VIG7" "CNAG_04982"
"399" "J9VUG0" "CNAG_05935"
"400" "J9VXL0" "CNAG_01956"
"401" "J9W236" "CNAG_01986"
"402" "J9VDV9" "CNAG_00086"
"403" "J9VUY0" "CNAG_02317"
"404" "J9VJN5" "CNAG_00695"
"405" "J9VRN4" "CNAG_05748"
"406" "J9VSJ9" "CNAG_04529"
"407" "J9VGJ4" "CNAG_00312"
"408" "J9VTW3" "CNAG_00982"
"409" "J9VH51" "CNAG_07510"
"410" "J9VGD6" "CNAG_03937"
"411" "J9VPE2" "CNAG_05804"
"412" "J9VS51" "CNAG_02420"
"413" "T2BMA0" "CNAG_06831"
"414" "J9VGW8" "CNAG_07363"
"415" "J9VS21" "CNAG_05240"
"416" "J9VU87" "CNAG_02543"
"417" "J9VYF2" "CNAG_01472"
"418" "J9W007" "CNAG_04861"
"419" "J9VX02" "CNAG_01702"
"420" "J9VX48" "CNAG_04479"
"421" "T2BNL4" "CNAG_07419"
"422" "J9VDS7" "CNAG_00293"
"423" "J9VL12" "CNAG_00980"
"424" "J9VFT0" "CNAG_03721"
"425" "J9VQU5" "CNAG_07564"
"426" "J9VV49" "CNAG_03229"
"427" "J9VXW7" "CNAG_03329"
"428" "J9VQS3" "CNAG_01209"
"429" "J9VXR0" "CNAG_03264"
"430" "J9VN01" "CNAG_06567"
"431" "J9VRE7" "CNAG_05025"
"432" "J9VVF8" "CNAG_06014"
"433" "J9VQ94" "CNAG_01354"
"434" "J9VX60" "CNAG_05979"
"435" "T2BMC7" "CNAG_01191"
"436" "J9VKK5" "CNAG_02739"
"437" "J9VMC6" "CNAG_02188"
"438" "J9VR33" "CNAG_03510"
"439" "J9VZM1" "CNAG_05448"
"440" "W6AN84" "CNAG_07999"
"441" "J9VTP0" "CNAG_03562"
"442" "J9VW22" "CNAG_04599"
"443" "J9VX00" "CNAG_05550"
"444" "J9VS14" "CNAG_04322"
"445" "J9VNM5" "CNAG_05749"
"446" "J9VP04" "CNAG_05080"
"447" "J9VU75" "CNAG_02553"
"448" "J9VVT0" "CNAG_03499"
"449" "J9VI26" "CNAG_02845"
"450" "J9W422" "CNAG_05539"
"451" "J9VXW4" "CNAG_03324"
"452" "J9VHE1" "CNAG_04093"
"453" "J9VDP7" "CNAG_00249"
"454" "J9VMY3" "CNAG_06552"
"455" "J9VUF9" "CNAG_01896"
"456" "J9VWN9" "CNAG_06434"
"457" "J9VI51" "CNAG_02575"
"458" "J9VQ73" "CNAG_02838"
"459" "J9VJM8" "CNAG_05148"
"460" "T2BN92" "CNAG_07845"
"461" "J9VMV1" "CNAG_01362"
"462" "J9W0G8" "CNAG_06207"
"463" "J9VW99" "CNAG_05333"
"464" "T2BND9" "CNAG_01573"
"465" "J9VHD8" "CNAG_02869"
"466" "J9VM44" "CNAG_00637"
"467" "T2BP54" "CNAG_02205"
"468" "J9VJ00" "CNAG_05137"
"469" "J9VU56" "CNAG_00865"
"470" "J9VXM9" "CNAG_05586"
"471" "J9VZN2" "CNAG_05452"
"472" "J9VPQ1" "CNAG_07716"
"473" "T2BPQ6" "CNAG_08005"
"474" "J9VMA4" "CNAG_00691"
"475" "J9VLB1" "CNAG_04970"
"476" "J9VLX6" "CNAG_07455"
"477" "J9VM17" "CNAG_07370"
"478" "J9VK46" "CNAG_00828"
"479" "J9VLN2" "CNAG_00468"
"480" "J9VD75" "CNAG_00100"
"481" "J9VJ64" "CNAG_03941"
"482" "J9VTF0" "CNAG_07439"
"483" "J9VTR7" "CNAG_04565"
"484" "J9VU46" "CNAG_01755"
"485" "J9VW43" "CNAG_04113"
"486" "J9VWH8" "CNAG_05737"
"487" "J9W209" "CNAG_01955"
"488" "J9VK44" "CNAG_02880"
"489" "T2BN61" "CNAG_07505"
"490" "T2BNW7" "CNAG_02510"
"491" "J9VS82" "CNAG_02382"
"492" "J9VS84" "CNAG_05304"
"493" "J9VQ77" "CNAG_02833"
"494" "J9VW58" "CNAG_06625"
"495" "J9VXJ0" "CNAG_01936"
"496" "J9VHL2" "CNAG_02816"
"497" "J9VY58" "CNAG_04658"
"498" "J9W0G3" "CNAG_06202"
"499" "J9VM65" "CNAG_03003"
