genes	logFC.A	FDR.A	logFC.AL	FDR.AL	groups	coarse_groups
CNAG_02432	-0.49814398916579	0.00322664270357609	-0.482313815276503	0.00670508896318274	Both down	Same
CNAG_04365	-1.3879596582275	0.00324749757185031	-1.67563189953875	0.00288853920180658	Both down	Same
CNAG_03124	-0.952364575034358	0.00325421055836956	-1.08935171017586	0.00346577496424913	Both down	Same
CNAG_01789	-0.476532877626038	0.00325421055836956	-0.40027552484628	0.0131933048898688	Both down	Same
CNAG_00359	-0.979531802531197	0.00325889916897901	-1.09341005304396	0.00380319933202822	Both down	Same
CNAG_05086	-0.909669531193125	0.00325889916897901	-1.10277623388538	0.00263975562626278	Both down	Same
CNAG_03634	-1.03840814098979	0.00327371336836926	-1.19675493337207	0.00336141217676099	Both down	Same
CNAG_03765	0.974352428220907	0.00328263763348172	1.36803485805877	0.00117824792177407	Both up	Same
CNAG_00589	-0.492974904222256	0.00328263763348172	-0.331383325008495	0.0333917983247783	Both down	Same
CNAG_04049	-0.714735715032886	0.00330161363802619	-0.850236846028022	0.00287816604223307	Both down	Same
CNAG_00142	-1.33832997918269	0.00330187636337214	-1.4482377118011	0.00448173287591273	Both down	Same
CNAG_01085	0.647598093817146	0.00332092531390596	0.481535804959688	0.0206349283459143	Both up	Same
CNAG_01550	-1.00038674694469	0.00332092531390596	-1.23115970230851	0.0025386841831594	Both down	Same
CNAG_02376	-0.770681231623997	0.00332298471909047	-0.633346642574575	0.0149479743081965	Both down	Same
CNAG_07520	1.28131582808215	0.00333071462118737	0.777911354074363	0.0421480666689432	Both up	Same
CNAG_00080	0.929635155386188	0.00333374761769913	0.526044041891015	0.0579249234423896	AMB up only	AMB only
CNAG_05813	0.534310514929429	0.00333374761769913	0.241698166681265	0.119648991830308	AMB up only	AMB only
CNAG_02377	0.455350733424729	0.00333374761769913	0.380080432992189	0.0129220755233272	Both up	Same
CNAG_06230	-0.914768929436282	0.00333374761769913	-1.25789728756064	0.00154272763157469	Both down	Same
CNAG_00677	-1.27011471160511	0.00333858486648648	-1.42792161792114	0.00403168969964223	Both down	Same
CNAG_06756	-1.0916047367243	0.00334150168351765	-0.919643831049122	0.0135550095829198	Both down	Same
CNAG_02055	1.21122872914806	0.00334150168351765	1.16469649084597	0.0061924779611697	Both up	Same
CNAG_05665	0.844452629419341	0.00334150168351765	1.0325498033736	0.00215378986826362	Both up	Same
CNAG_03390	-0.708347574068341	0.00334150168351765	-0.69218431755393	0.00687806815929457	Both down	Same
CNAG_03230	0.936879264709361	0.00334150168351765	1.15314728214282	0.00196578965084027	Both up	Same
CNAG_03230	0.936879264709361	0.00334150168351765	1.15314728214282	0.00196578965084027	Both up	Same
CNAG_03230	0.936879264709361	0.00334150168351765	1.15314728214282	0.00196578965084027	Both up	Same
CNAG_03230	0.936879264709361	0.00334150168351765	1.15314728214282	0.00196578965084027	Both up	Same
CNAG_05406	-0.689780858373726	0.00334973371061328	-0.720122422336674	0.00508202490555792	Both down	Same
CNAG_07979	-1.02447664579641	0.00335771552605266	-1.14554058311356	0.00389179613514397	Both down	Same
CNAG_01718	0.532776462564641	0.00336077626996132	0.420468970601141	0.0165007348507463	Both up	Same
CNAG_02197	-0.410647639313547	0.00336363791011548	-0.413421114629798	0.00593292703401949	Both down	Same
CNAG_06109	3.52239748068556	0.00336363791011548	5.20430224187546	0.00105168205891922	Both up	Same
CNAG_07433	-0.367311236778902	0.00336363791011548	-0.317444604926689	0.0119892271189093	Both down	Same
CNAG_06889	-1.24564770720807	0.00336518431091151	-1.37444904147019	0.00388828966410525	Both down	Same
CNAG_01600	-1.16233558159756	0.00336518431091151	-1.32302636416638	0.00370950064516627	Both down	Same
CNAG_06692	-0.550090638481955	0.00337106965739008	-0.596674866082145	0.00426938074067034	Both down	Same
CNAG_00647	-1.01979397402427	0.00337334750963453	-1.48304076997895	0.0012805342890256	Both down	Same
CNAG_03502	1.02775129899024	0.00338310159969093	1.09893514118932	0.00393106414447237	Both up	Same
CNAG_02722	1.20079555815707	0.0033910686992771	1.19693318619791	0.00531162583050364	Both up	Same
CNAG_05220	0.889732131697168	0.00339618345972703	0.719561831004978	0.0146676433258127	Both up	Same
CNAG_00333	-0.840170971923043	0.00339866021714217	-0.887291217413435	0.00504636101457553	Both down	Same
CNAG_01564	-0.75669720755186	0.00339971685194812	-0.830077461895192	0.00417835349029115	Both down	Same
CNAG_03481	-0.762319646435027	0.00339971685194812	-0.567699916791939	0.0227985155894773	Both down	Same
CNAG_02237	0.516861781575251	0.00339971685194812	0.666222952284677	0.0018038359217235	Both up	Same
CNAG_04412	0.596141681963363	0.00340661002971315	0.303723324302503	0.0859649365208078	AMB up only	AMB only
CNAG_02006	1.1926025513787	0.00342161434802336	1.57843065891093	0.00154272763157469	Both up	Same
CNAG_04608	-0.924092863210643	0.00345235493888848	-0.707974651691032	0.0208653858652352	Both down	Same
CNAG_02189	-0.675220104130231	0.00345235493888848	-0.520250950905918	0.020428911429021	Both down	Same
CNAG_04294	-0.677395359522781	0.00345235493888848	-0.525738866529954	0.0186455522842473	Both down	Same
CNAG_04833	1.28075865322443	0.00345235493888848	1.54433783098697	0.00236365019476939	Both up	Same
CNAG_01163	-0.803742490459373	0.00345235493888848	-0.960090283788857	0.00300954221895872	Both down	Same
CNAG_03887	-0.472338538442748	0.00345235493888848	-0.509009723809432	0.00455137739186668	Both down	Same
CNAG_06451	-0.514952257921356	0.00345235493888848	-0.428193197975301	0.0146652862182916	Both down	Same
CNAG_00643	-0.809177604096094	0.00345235493888848	-0.773396596938388	0.00792821390695067	Both down	Same
CNAG_06334	2.15782379970714	0.00346147885575507	2.57151820290807	0.00241109027906798	Both up	Same
CNAG_06240	-0.726207695527918	0.00346511760678518	-0.71443286071639	0.00704945405007405	Both down	Same
CNAG_00667	-0.45707215500036	0.00346948570594625	-0.368251769536887	0.016634797810829	Both down	Same
CNAG_01593	-1.0424130304268	0.00348922333708815	-1.11833858143712	0.00488221503775734	Both down	Same
CNAG_01943	-0.635244781931448	0.00349842332215199	-0.715219655071416	0.00383485858102312	Both down	Same
CNAG_05603	-0.885256642901388	0.00349842332215199	-0.85926661304007	0.00738812278718783	Both down	Same
CNAG_04325	1.20535507993017	0.00349842332215199	1.61021559872533	0.00152430076802625	Both up	Same
CNAG_06371	0.706562812291379	0.00349842332215199	0.773731500716771	0.00374030697077618	Both up	Same
CNAG_03998	0.508225374504693	0.00349842332215199	0.519177253665512	0.0052696402430601	Both up	Same
CNAG_02889	-1.36524811950542	0.00349842332215199	-1.46707115712803	0.00491164721266849	Both down	Same
CNAG_06484	0.69379091213448	0.00351191496015376	0.643602885976841	0.0082539203972337	Both up	Same
CNAG_00191	-1.11907042224993	0.0035138218526825	-1.53624655557456	0.00162787962805253	Both down	Same
CNAG_05761	-0.92985157687242	0.0035138218526825	-1.01281721582271	0.00455137739186668	Both down	Same
CNAG_00257	-0.789700173277885	0.00351553109402388	-0.99007591745911	0.00247335416866903	Both down	Same
CNAG_04017	0.527325786833693	0.00352247068485531	1.10240911476091	0.000230974517600485	Both up	Same
CNAG_02482	-0.629865840655857	0.00353484534007859	-0.462597290241085	0.0253322574521127	Both down	Same
CNAG_07481	0.589823791501391	0.00354392030047302	0.791813087074767	0.00154272763157469	Both up	Same
CNAG_01203	-0.56109461329215	0.00356980280402959	-0.584204249321886	0.00537611088400239	Both down	Same
CNAG_05891	1.28796374103597	0.00359255559244628	1.55204489157422	0.00245789509963722	Both up	Same
CNAG_06126	-1.49254553010557	0.00359255559244628	-1.71058238848321	0.00377506492706983	Both down	Same
CNAG_01058	-0.594129329715704	0.00360353026423158	-0.576440387903091	0.00758561660701636	Both down	Same
CNAG_03864	0.598569339021799	0.00360498165139054	0.751106567449008	0.00209729127352497	Both up	Same
CNAG_02989	1.01860560731681	0.00360498165139054	1.13313471930803	0.00357603269682551	Both up	Same
